agent,board,magnitude,frequency,seed,label,condition,shift_idx,to_opponent,returns_to_A,shift_at_step,baseline,threshold80,min_rolling,perf_drop,end_rolling,disrupted,recovered,recovery_games,adapt_cost_games,adapt_cost_ksteps,segment_games
feudal,13x13,med,f2,1,med-f2,corner-phase2-med-f2-s1,3,corner,0,3200251,0.8,0.64,0.33,0.47,0.77,1,1,3,1082.27,194.09,4219
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,0,edge,1,501087,0.5,0.4,0.46,0.04,0.69,0,1,0,0.66,0.37,543
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,1,corner,0,850500,0.69,0.552,0.39,0.3,0.39,1,1,1,73.17,64.45,410
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,2,edge,1,1201883,0.39,0.312,0.37,0.02,0.57,0,1,0,0.09,0.09,381
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,3,corner,0,1551573,0.57,0.456,0.27,0.3,0.46,1,1,270,63.94,67.9,333
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,4,edge,1,1902243,0.46,0.368,0.33,0.13,0.52,1,1,16,14.74,14.12,371
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,5,corner,0,2251587,0.52,0.416,0.24,0.28,0.3,1,1,103,47.14,46.77,353
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,6,edge,1,2601159,0.3,0.24,0.3,0.0,0.35,0,1,0,0.0,0.0,361
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,7,corner,0,2951683,0.35,0.28,0.17,0.18,0.29,1,1,65,13.02,15.31,300
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,8,edge,1,3301652,0.29,0.232,0.25,0.04,0.48,0,1,0,0.8,0.94,321
feudal,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,9,corner,0,3652260,0.48,0.384,0.22,0.26,0.3,1,1,20,57.57,65.49,305
feudal,13x13,high,f1,2,high-f1,greedy-phase2-high-f1-s2,0,defensive,1,500330,0.64,0.512,0.11,0.53,0.62,1,1,2,4961.28,610.46,20899
feudal,13x13,high,f1,2,high-f1,greedy-phase2-high-f1-s2,1,greedy,0,3200271,0.62,0.496,0.17,0.45,0.32,1,1,3,926.96,176.99,4093
feudal,13x13,low,f1,0,low-f1,corner-phase2-low-f1,0,edge,1,500644,0.81,0.648,0.56,0.25,0.79,1,1,5,285.54,120.35,7117
feudal,13x13,low,f1,0,low-f1,corner-phase2-low-f1,1,corner,0,3200304,0.79,0.632,0.65,0.14,0.88,0,1,0,67.81,23.18,2242
feudal,13x13,low,f2,2,low-f2,corner-phase2-low-f2-s2,0,edge,1,501087,0.5,0.4,0.46,0.04,0.47,0,1,0,1.79,1.43,1333
feudal,13x13,low,f2,2,low-f2,corner-phase2-low-f2-s2,1,corner,0,1400392,0.47,0.376,0.27,0.2,0.61,1,1,7,30.52,31.09,1366
feudal,13x13,low,f2,2,low-f2,corner-phase2-low-f2-s2,2,edge,1,2300575,0.61,0.488,0.44,0.17,0.47,1,1,3,21.72,22.41,1470
feudal,13x13,low,f2,2,low-f2,corner-phase2-low-f2-s2,3,corner,0,3202372,0.47,0.376,0.36,0.11,0.53,1,1,7,16.05,17.16,784
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,0,defensive,1,500621,0.81,0.648,0.34,0.47,0.49,1,1,6,561.87,85.52,2129
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,1,corner,0,850281,0.49,0.392,0.49,0.0,0.59,0,1,0,0.0,0.0,1261
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,2,defensive,1,1200672,0.59,0.472,0.44,0.15,0.86,1,1,18,13.09,2.74,1008
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,3,corner,0,1551113,0.86,0.688,0.57,0.29,0.89,1,1,148,51.22,32.04,794
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,4,defensive,1,1900185,0.89,0.712,0.68,0.21,0.82,1,1,11,103.86,19.77,1768
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,5,corner,0,2250235,0.82,0.656,0.77,0.05,0.91,0,1,0,12.19,3.33,1203
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,6,defensive,1,2600544,0.91,0.728,0.72,0.19,0.94,1,1,6,83.51,18.02,1605
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,7,corner,0,2950402,0.94,0.752,0.71,0.23,0.82,1,1,8,100.39,35.73,1000
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,8,defensive,1,3300216,0.82,0.656,0.8,0.02,0.92,0,1,0,0.97,0.2,1241
feudal,13x13,med,f3,0,med-f3,corner-phase2-med-f3,9,corner,0,3650267,0.92,0.736,0.84,0.08,0.84,0,1,0,21.63,7.56,987
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,0,defensive,1,501235,0.55,0.44,0.53,0.02,0.75,0,1,0,0.05,0.05,651
