game_idx,global_step,opponent,win,rolling,shift_idx,games_since_shift
500,40301,corner,1,0.8300,-1,0
501,40371,corner,1,0.8300,-1,0
502,40455,corner,1,0.8400,-1,0
503,40503,corner,0,0.8300,-1,0
504,40571,corner,1,0.8400,-1,0
505,40638,corner,1,0.8400,-1,0
506,40798,corner,1,0.8500,-1,0
507,40879,corner,1,0.8600,-1,0
508,40949,corner,1,0.8700,-1,0
509,41010,corner,1,0.8700,-1,0
510,41098,corner,1,0.8800,-1,0
511,41214,corner,1,0.8800,-1,0
512,41291,corner,1,0.8900,-1,0
513,41382,corner,1,0.8900,-1,0
514,41522,corner,0,0.8800,-1,0
515,41603,corner,0,0.8700,-1,0
516,41673,corner,1,0.8700,-1,0
517,41745,corner,1,0.8800,-1,0
518,41811,corner,1,0.8800,-1,0
519,41907,corner,1,0.8800,-1,0
520,41988,corner,0,0.8700,-1,0
521,42069,corner,0,0.8600,-1,0
522,42161,corner,1,0.8600,-1,0
523,42224,corner,1,0.8700,-1,0
524,42271,corner,0,0.8600,-1,0
525,42329,corner,1,0.8600,-1,0
526,42418,corner,0,0.8500,-1,0
527,42494,corner,1,0.8500,-1,0
528,42587,corner,1,0.8600,-1,0
529,42683,corner,1,0.8600,-1,0
530,42768,corner,1,0.8700,-1,0
531,42826,corner,1,0.8700,-1,0
532,42906,corner,1,0.8800,-1,0
533,42987,corner,0,0.8700,-1,0
534,43063,corner,1,0.8700,-1,0
535,43137,corner,1,0.8700,-1,0
536,43221,corner,0,0.8600,-1,0
537,43301,corner,1,0.8600,-1,0
538,43366,corner,1,0.8600,-1,0
539,43432,corner,1,0.8600,-1,0
540,43493,corner,1,0.8600,-1,0
541,43540,corner,0,0.8500,-1,0
542,43639,corner,1,0.8500,-1,0
543,43700,corner,1,0.8500,-1,0
544,43788,corner,1,0.8500,-1,0
545,43905,corner,1,0.8500,-1,0
546,43979,corner,1,0.8500,-1,0
547,44068,corner,1,0.8500,-1,0
548,44132,corner,1,0.8500,-1,0
549,44205,corner,1,0.8500,-1,0
550,44311,corner,1,0.8500,-1,0
551,44391,corner,1,0.8500,-1,0
552,44481,corner,1,0.8600,-1,0
553,44562,corner,1,0.8600,-1,0
554,44634,corner,1,0.8600,-1,0
555,44678,corner,0,0.8500,-1,0
556,44780,corner,1,0.8500,-1,0
557,44862,corner,1,0.8500,-1,0
558,44958,corner,1,0.8500,-1,0
559,45036,corner,1,0.8500,-1,0
560,45102,corner,1,0.8600,-1,0
561,45174,corner,1,0.8600,-1,0
562,45247,corner,1,0.8600,-1,0
563,45317,corner,1,0.8600,-1,0
564,45392,corner,1,0.8700,-1,0
565,45443,corner,0,0.8600,-1,0
566,45557,corner,1,0.8600,-1,0
567,45605,corner,0,0.8500,-1,0
568,45672,corner,1,0.8500,-1,0
569,45738,corner,1,0.8500,-1,0
570,45893,corner,1,0.8500,-1,0
571,45974,corner,1,0.8500,-1,0
572,46025,corner,0,0.8400,-1,0
573,46114,corner,1,0.8400,-1,0
574,46206,corner,1,0.8500,-1,0
575,46272,corner,1,0.8500,-1,0
576,46364,corner,1,0.8500,-1,0
577,46439,corner,1,0.8500,-1,0
578,46526,corner,1,0.8500,-1,0
579,46590,corner,1,0.8500,-1,0
580,46658,corner,1,0.8500,-1,0
581,46753,corner,0,0.8500,-1,0
582,46870,corner,1,0.8500,-1,0
583,47032,corner,1,0.8500,-1,0
584,47124,corner,1,0.8500,-1,0
585,47198,corner,1,0.8500,-1,0
586,47244,corner,0,0.8400,-1,0
587,47304,corner,1,0.8400,-1,0
588,47369,corner,1,0.8400,-1,0
589,47452,corner,1,0.8400,-1,0
590,47590,corner,1,0.8400,-1,0
591,47647,corner,1,0.8400,-1,0
592,47698,corner,0,0.8300,-1,0
593,47810,corner,1,0.8300,-1,0
594,47900,corner,1,0.8300,-1,0
595,47951,corner,1,0.8300,-1,0
596,48045,corner,1,0.8300,-1,0
597,48119,corner,1,0.8300,-1,0
598,48205,corner,1,0.8300,-1,0
599,48278,corner,1,0.8300,-1,0
600,48386,corner,1,0.8300,-1,0
601,48468,corner,0,0.8200,-1,0
602,48537,corner,1,0.8200,-1,0
603,48603,corner,1,0.8300,-1,0
604,48686,corner,1,0.8300,-1,0
605,48781,corner,1,0.8300,-1,0
606,48831,corner,0,0.8200,-1,0
607,48934,corner,1,0.8200,-1,0
608,49023,corner,1,0.8200,-1,0
609,49133,corner,1,0.8200,-1,0
610,49221,corner,1,0.8200,-1,0
611,49308,corner,1,0.8200,-1,0
612,49373,corner,0,0.8100,-1,0
613,49444,corner,1,0.8100,-1,0
614,49528,corner,1,0.8200,-1,0
615,49659,corner,1,0.8300,-1,0
616,49743,corner,0,0.8200,-1,0
617,49837,corner,1,0.8200,-1,0
618,49931,corner,1,0.8200,-1,0
619,50008,corner,1,0.8200,-1,0
620,50080,corner,1,0.8300,-1,0
621,50127,corner,0,0.8300,-1,0
622,50188,corner,1,0.8300,-1,0
623,50248,corner,1,0.8300,-1,0
624,50309,corner,1,0.8400,-1,0
625,50394,corner,1,0.8400,-1,0
626,50468,corner,1,0.8500,-1,0
627,50541,corner,1,0.8500,-1,0
628,50633,corner,1,0.8500,-1,0
629,50690,corner,0,0.8400,-1,0
630,50768,corner,1,0.8400,-1,0
631,50837,corner,1,0.8400,-1,0
632,50910,corner,1,0.8400,-1,0
633,50965,corner,0,0.8400,-1,0
634,51046,corner,1,0.8400,-1,0
635,51089,corner,0,0.8300,-1,0
636,51148,corner,1,0.8400,-1,0
637,51217,corner,1,0.8400,-1,0
638,51280,corner,1,0.8400,-1,0
639,51356,corner,1,0.8400,-1,0
640,51429,corner,1,0.8400,-1,0
641,51541,corner,1,0.8500,-1,0
642,51586,corner,0,0.8400,-1,0
643,51638,corner,0,0.8300,-1,0
644,51769,corner,0,0.8200,-1,0
645,51836,corner,1,0.8200,-1,0
646,51885,corner,1,0.8200,-1,0
647,51996,corner,0,0.8100,-1,0
648,52084,corner,1,0.8100,-1,0
649,52168,corner,1,0.8100,-1,0
650,52226,corner,1,0.8100,-1,0
651,52298,corner,1,0.8100,-1,0
652,52371,corner,1,0.8100,-1,0
653,52451,corner,1,0.8100,-1,0
654,52507,corner,1,0.8100,-1,0
655,52588,corner,0,0.8100,-1,0
656,52665,corner,1,0.8100,-1,0
657,52751,corner,1,0.8100,-1,0
658,52841,corner,1,0.8100,-1,0
659,52911,corner,1,0.8100,-1,0
660,52982,corner,1,0.8100,-1,0
661,53059,corner,1,0.8100,-1,0
662,53164,corner,1,0.8100,-1,0
663,53238,corner,1,0.8100,-1,0
664,53316,corner,1,0.8100,-1,0
665,53396,corner,1,0.8200,-1,0
666,53486,corner,1,0.8200,-1,0
667,53583,corner,1,0.8300,-1,0
668,53649,corner,1,0.8300,-1,0
669,53711,corner,1,0.8300,-1,0
670,53794,corner,0,0.8200,-1,0
671,53904,corner,1,0.8200,-1,0
672,54003,corner,1,0.8300,-1,0
673,54058,corner,0,0.8200,-1,0
674,54157,corner,1,0.8200,-1,0
675,54232,corner,1,0.8200,-1,0
676,54359,corner,1,0.8200,-1,0
