  Step     2,048 | Games     53 | WinRate(last100) 50.9% | epLen  38.6 | KL 0.0045
  Step   256,000 | Games  7,522 | WinRate(last100) 95.0% | epLen  31.6 | KL 0.0141
  Step   258,048 | Games  7,586 | WinRate(last100) 94.0% | epLen  31.6 | KL 0.0103
  Step   260,096 | Games  7,652 | WinRate(last100) 94.0% | epLen  31.3 | KL 0.0128
  Step   262,144 | Games  7,716 | WinRate(last100) 91.0% | epLen  32.2 | KL 0.0112
  Step   264,192 | Games  7,783 | WinRate(last100) 91.0% | epLen  30.8 | KL 0.0143
  Step   266,240 | Games  7,847 | WinRate(last100) 90.0% | epLen  31.2 | KL 0.0107
  Step   268,288 | Games  7,911 | WinRate(last100) 91.0% | epLen  32.5 | KL 0.0149
  Step   270,336 | Games  7,977 | WinRate(last100) 93.0% | epLen  31.7 | KL 0.0119
  Step   272,384 | Games  8,040 | WinRate(last100) 93.0% | epLen  32.1 | KL 0.0181
  Step   274,432 | Games  8,105 | WinRate(last100) 97.0% | epLen  33.0 | KL 0.0117
  Step   276,480 | Games  8,169 | WinRate(last100) 98.0% | epLen  31.5 | KL 0.0141
  Step   278,528 | Games  8,234 | WinRate(last100) 97.0% | epLen  31.6 | KL 0.0155
  Step   280,576 | Games  8,300 | WinRate(last100) 93.0% | epLen  31.0 | KL 0.0120
  Step   282,624 | Games  8,369 | WinRate(last100) 87.0% | epLen  30.7 | KL 0.0154
  Step   284,672 | Games  8,433 | WinRate(last100) 87.0% | epLen  31.1 | KL 0.0143
  Step   286,720 | Games  8,500 | WinRate(last100) 94.0% | epLen  31.3 | KL 0.0150
  Step   288,768 | Games  8,560 | WinRate(last100) 87.0% | epLen  33.0 | KL 0.0201
  Step   290,816 | Games  8,621 | WinRate(last100) 90.0% | epLen  34.1 | KL 0.0179
  Step   292,864 | Games  8,684 | WinRate(last100) 93.0% | epLen  32.8 | KL 0.0114
  Step   294,912 | Games  8,741 | WinRate(last100) 94.0% | epLen  34.7 | KL 0.0147
  Step   296,960 | Games  8,808 | WinRate(last100) 93.0% | epLen  32.5 | KL 0.0144
  Step   299,008 | Games  8,871 | WinRate(last100) 92.0% | epLen  32.1 | KL 0.0117
  Step   301,056 | Games  8,936 | WinRate(last100) 93.0% | epLen  31.5 | KL 0.0124
  Step   303,104 | Games  9,001 | WinRate(last100) 95.0% | epLen  31.6 | KL 0.0162
  Step   305,152 | Games  9,064 | WinRate(last100) 96.0% | epLen  31.8 | KL 0.0136
  Step   307,200 | Games  9,130 | WinRate(last100) 94.0% | epLen  31.2 | KL 0.0119
  Step   309,248 | Games  9,195 | WinRate(last100) 95.0% | epLen  31.6 | KL 0.0148
  Step   311,296 | Games  9,260 | WinRate(last100) 98.0% | epLen  31.3 | KL 0.0107
  Step   313,344 | Games  9,328 | WinRate(last100) 97.0% | epLen  31.2 | KL 0.0148
  Step   315,392 | Games  9,396 | WinRate(last100) 94.0% | epLen  29.1 | KL 0.0141
  Step   317,440 | Games  9,465 | WinRate(last100) 92.0% | epLen  29.7 | KL 0.0135
  Step   319,488 | Games  9,533 | WinRate(last100) 94.0% | epLen  30.1 | KL 0.0110
  Step   321,536 | Games  9,597 | WinRate(last100) 93.0% | epLen  31.6 | KL 0.0147
  Step   323,584 | Games  9,660 | WinRate(last100) 94.0% | epLen  32.0 | KL 0.0268
  Step   325,632 | Games  9,725 | WinRate(last100) 94.0% | epLen  32.7 | KL 0.0172
  Step   327,680 | Games  9,789 | WinRate(last100) 95.0% | epLen  32.0 | KL 0.0177
  Step   329,728 | Games  9,854 | WinRate(last100) 93.0% | epLen  32.0 | KL 0.0142
  Step   331,776 | Games  9,914 | WinRate(last100) 93.0% | epLen  32.8 | KL 0.0226
  Step   333,824 | Games  9,980 | WinRate(last100) 95.0% | epLen  31.5 | KL 0.0137
